date,isin,ticker,price
2023-05-23,US0079031078,AMD.US,108.12
2023-05-24,US0079031078,AMD.US,108.27
2023-05-25,US0079031078,AMD.US,120.35
2023-05-26,US0079031078,AMD.US,127.03
2023-05-30,US0079031078,AMD.US,125.27
2023-05-31,US0079031078,AMD.US,118.21
2023-06-01,US0079031078,AMD.US,119.47
2023-06-02,US0079031078,AMD.US,117.86
2023-06-05,US0079031078,AMD.US,117.93
2023-06-06,US0079031078,AMD.US,124.23
2023-06-07,US0079031078,AMD.US,117.83
2023-06-08,US0079031078,AMD.US,121.05
2023-06-09,US0079031078,AMD.US,124.92
2023-06-12,US0079031078,AMD.US,129.19
2023-06-13,US0079031078,AMD.US,124.53
2023-06-14,US0079031078,AMD.US,127.33
2023-06-15,US0079031078,AMD.US,124.24
2023-06-16,US0079031078,AMD.US,120.08
2023-06-20,US0079031078,AMD.US,118.93
2023-06-21,US0079031078,AMD.US,112.11
2023-06-22,US0079031078,AMD.US,110.7
2023-06-23,US0079031078,AMD.US,110.01
2023-06-26,US0079031078,AMD.US,107.51
2023-06-27,US0079031078,AMD.US,110.39
2023-06-28,US0079031078,AMD.US,110.17
2023-06-29,US0079031078,AMD.US,111.24
2023-06-30,US0079031078,AMD.US,113.91
2023-07-03,US0079031078,AMD.US,115.82
2023-07-05,US0079031078,AMD.US,113.95
2023-07-06,US0079031078,AMD.US,113.48
2023-07-07,US0079031078,AMD.US,113.17
2023-07-10,US0079031078,AMD.US,113.58
2023-07-11,US0079031078,AMD.US,111.32
2023-07-12,US0079031078,AMD.US,114.58
2023-07-13,US0079031078,AMD.US,115.92
2023-07-14,US0079031078,AMD.US,115.94
2023-07-17,US0079031078,AMD.US,118.32
2023-07-18,US0079031078,AMD.US,117.93
2023-07-19,US0079031078,AMD.US,116.43
2023-07-20,US0079031078,AMD.US,110.25
2023-07-21,US0079031078,AMD.US,110.95
2023-07-24,US0079031078,AMD.US,110.61
2023-07-25,US0079031078,AMD.US,113.0
2023-07-26,US0079031078,AMD.US,110.09
2023-07-27,US0079031078,AMD.US,111.1
2023-07-28,US0079031078,AMD.US,112.96
2023-07-31,US0079031078,AMD.US,114.4
2023-08-01,US0079031078,AMD.US,117.6
2023-08-02,US0079031078,AMD.US,109.35
2023-08-03,US0079031078,AMD.US,113.15
2023-08-04,US0079031078,AMD.US,115.82
2023-08-07,US0079031078,AMD.US,116.81
2023-08-08,US0079031078,AMD.US,113.23
2023-08-09,US0079031078,AMD.US,110.47
2023-08-10,US0079031078,AMD.US,110.23
2023-08-11,US0079031078,AMD.US,107.57
2023-08-14,US0079031078,AMD.US,111.98
2023-08-15,US0079031078,AMD.US,111.35
2023-08-16,US0079031078,AMD.US,107.19
2023-08-17,US0079031078,AMD.US,104.44
2023-08-18,US0079031078,AMD.US,105.45
2023-08-21,US0079031078,AMD.US,108.22
2023-08-22,US0079031078,AMD.US,105.66
2023-08-23,US0079031078,AMD.US,109.43
2023-08-24,US0079031078,AMD.US,101.8
2023-08-25,US0079031078,AMD.US,102.25
2023-08-28,US0079031078,AMD.US,102.61
2023-08-29,US0079031078,AMD.US,105.92
2023-08-30,US0079031078,AMD.US,106.59
2023-08-31,US0079031078,AMD.US,105.72
2023-09-01,US0079031078,AMD.US,109.45
2023-09-05,US0079031078,AMD.US,110.78
2023-09-06,US0079031078,AMD.US,109.28
2023-09-07,US0079031078,AMD.US,106.59
2023-09-08,US0079031078,AMD.US,106.09
2023-09-11,US0079031078,AMD.US,105.32
2023-09-12,US0079031078,AMD.US,105.31
2023-09-13,US0079031078,AMD.US,107.71
2023-09-14,US0079031078,AMD.US,106.63
2023-09-15,US0079031078,AMD.US,101.49
2023-09-18,US0079031078,AMD.US,102.37
2023-09-19,US0079031078,AMD.US,101.61
2023-09-20,US0079031078,AMD.US,100.34
2023-09-21,US0079031078,AMD.US,96.11
2023-09-22,US0079031078,AMD.US,96.2
2023-09-25,US0079031078,AMD.US,97.38
2023-09-26,US0079031078,AMD.US,95.96
2023-09-27,US0079031078,AMD.US,98.07
2023-09-28,US0079031078,AMD.US,102.76
2023-09-29,US0079031078,AMD.US,102.82
2023-10-02,US0079031078,AMD.US,103.27
2023-10-03,US0079031078,AMD.US,100.08
2023-10-04,US0079031078,AMD.US,104.07
2023-10-05,US0079031078,AMD.US,102.91
2023-10-06,US0079031078,AMD.US,107.24
2023-10-09,US0079031078,AMD.US,106.97
2023-10-10,US0079031078,AMD.US,109.01
2023-10-11,US0079031078,AMD.US,108.31
2023-10-12,US0079031078,AMD.US,108.79
2023-10-13,US0079031078,AMD.US,105.09
2023-10-16,US0079031078,AMD.US,106.46
2023-10-17,US0079031078,AMD.US,105.14
2023-10-18,US0079031078,AMD.US,102.17
2023-10-19,US0079031078,AMD.US,102.4
2023-10-20,US0079031078,AMD.US,101.81
2023-10-23,US0079031078,AMD.US,100.01
2023-10-24,US0079031078,AMD.US,101.67
2023-10-25,US0079031078,AMD.US,96.06
